State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.5559052948823252	0.004070575807659521	0.011902954579190134	0.1428126529350827	0.006507896539196583	0.0038510019346690116	0.0	0.013418617116062648	7.432199311698911E-4	0.0016300572481552503	1.288301950571551E-4	0.0016997533228196888	0.15868332753908188	0.08964849866539991	0.008997319304130419
2	0.003164502115653722	0.526128480614148	0.10342886073012438	0.0	3.4307787694772204E-5	0.003242448572259779	0.005599222450353141	0.30624464530330725	0.0030583491782019234	0.0	0.0	5.426149767732248E-4	0.04707750225392536	0.0	0.00147906601755858
3	0.007542218176027606	0.11110654225130372	0.6645845466112819	0.0714396994802971	2.078798405129557E-4	0.010813138267165484	0.07524494573848803	0.04893622703833412	0.0	0.0	0.0	1.5140353326609785E-4	0.009914995376237032	2.4100455447769633E-6	5.599364154128113E-5
4	0.10838129699306179	0.0017226204992787663	0.08370632402981247	0.7036472777404325	0.0793401423022105	0.004218970201997997	4.897669452327652E-5	0.0043147514546875475	0.0	2.5566654862265944E-4	2.7223794223722434E-5	5.11432672685447E-4	0.013664249408527417	0.0	1.6106765993616093E-4
5	0.007534797564198413	0.0	5.986727608031431E-4	0.1295617927718007	0.7477081564842557	0.10955361656283949	0.0	1.1942493212412313E-4	0.00220608159099882	0.001988779987933878	1.5384515851635702E-4	1.386029066979347E-4	3.421894528606033E-4	0.0	9.403982697084045E-5
6	0.0027638664314544805	0.003899868546379261	0.01196415457655087	0.0031532526572287897	0.06100080899561089	0.7688366636047603	0.005086562026955886	0.0012683945511378979	0.1223624673811231	0.01595667383985014	0.002350102500334033	0.0011045214883826143	1.5646439606387442E-4	0.0	9.619900416786244E-5
7	0.0	0.008054625616642195	0.10560549640063925	6.605363550004508E-5	0.0	0.006072274507120498	0.624888354583332	0.19936892089945624	0.004849730662462338	0.0	0.0011244380902430242	0.040325297434755644	6.145970012132347E-8	0.0	0.009644746710148583
8	0.0017969368852271566	0.06659235570997568	0.009972050950402912	7.338209575476837E-4	1.3254092139553725E-5	2.0927099537868646E-4	0.028947232647132653	0.7126542857274815	0.002270452932091195	0.0013874975858844093	0.0	0.012421355408738512	0.15962820175564366	2.1491969841803553E-4	0.0031583646539383625
9	3.111168115356672E-4	0.0019641742817011806	0.0	0.0	3.9503622936620504E-4	0.0661533176168052	0.002154606973805616	0.0072109058156882185	0.7537690522851748	0.15263206819548472	0.011713848862074067	0.003695872928364477	0.0	0.0	0.0
10	2.528718273061498E-4	5.665506166681781E-7	1.2456113162939711E-5	4.008829163053957E-5	3.382696685714518E-4	0.003206497788747313	0.0	0.001730990359849974	0.061234029378539064	0.8726771538043888	0.04730979038021724	0.011436826430963965	0.0016501133574744707	0.0	1.1034604853110305E-4
11	5.941105486725303E-5	0.0	0.0	0.0	7.270890374532065E-5	0.001511255158571463	8.410244128498304E-4	0.0	0.015471419777074332	0.15796110231785698	0.7516436523956809	0.06830630333798163	0.0	9.018793704740831E-6	0.004124103847667518
12	1.286626998697119E-4	5.213855099645519E-6	0.0	4.712509306529808E-5	1.2435223529924939E-5	7.306956800580931E-5	0.0028419580405884865	0.006389462487633071	5.719996372126005E-4	0.004806608481420342	0.008495125856936018	0.9592287759636758	0.007442821268115593	0.0	0.009956741824847716
13	8.850259207949949E-4	4.380109288232988E-4	1.0048260166032997E-4	9.598837295306825E-5	2.4972196715572912E-6	2.2666464468606183E-6	0.0	0.00700827230377751	0.0	6.080345986501906E-5	0.0	6.292153966155006E-4	0.9669236456549799	0.004170221826102014	0.0196835696683099
14	0.004268913914792646	0.0	0.0	0.0	0.0	0.0	0.0	6.794289551937242E-5	0.0	0.0	0.0	0.0	0.03418469978968031	0.9523903545759068	0.009088088824101
15	0.0015296833254570311	3.4086575797223894E-4	1.980274077415837E-5	5.496828912053044E-5	5.058486329747276E-6	5.188039985988044E-6	0.0016581877094423588	0.003911326491154774	9.346975779392096E-7	1.2783178950229174E-4	0.0011600593762402145	0.024074223587535415	0.556649015407475	0.03130068516209916	0.3791621691393332
